School Name,Address,GSO Rating,Academic Progress,Test Scores,Equity Scores,School Types,Star Rating,Review Link,School Link,City,IsPreK,IsElementary,IsMiddle,IsHigh,Normalized Test Scores,Normalized Academic Progress,Normalized Equity Scores,Composite Score,Score Category,Private,Public District,Public Charter,lat,lon
Eagle Rock High School,"1750 Yosemite Drive, Los Angeles, CA, 90041",7,6.0,9.0,6.0,"['Middle school', 'High school', 'Public district']",3.7,https://www.greatschools.org/california/los-angeles/2043-Eagle-Rock-High-School/reviews/,https://www.greatschools.org/california/los-angeles/2043-Eagle-Rock-High-School/,Los Angeles,False,False,True,True,0.9,0.6,0.6,7.0,Above Average,False,False,True,34.25085954705518,-118.553477
Oliver Wendell Holmes Middle School,"9351 Paso Robles Ave., Los Angeles, CA, 91325",7,7.0,8.0,7.0,"['Middle school', 'Public district']",3.9,https://www.greatschools.org/california/los-angeles/2150-Oliver-Wendell-Holmes-Middle-School/reviews/,https://www.greatschools.org/california/northridge/2150-Oliver-Wendell-Holmes-Middle-School/,Los Angeles,False,False,True,False,0.8,0.7,0.7,8.0,Above Average,False,False,True,34.11688738407857,-118.24001594692857
Washington Irving Mid School Math Music and Engr Magnet,"3010 Estara Avenue, Los Angeles, CA, 90065",7,7.0,8.0,6.0,"['Middle school', 'Public district']",3.9,https://www.greatschools.org/california/los-angeles/2162-Washington-Irving-Mid-School-Math-Music-And-Engr-Magnet/reviews/,https://www.greatschools.org/california/los-angeles/2162-Irving-STEAM-Magnet/,Los Angeles,False,False,True,False,0.8,0.7,0.6,7.0,Above Average,False,False,True,34.2169982,-118.53882657506267
Alfred B. Nobel Charter Middle School,"9950 Tampa Ave., Los Angeles, CA, 91324",7,6.0,9.0,8.0,"['Middle school', 'Public charter']",3.0,https://www.greatschools.org/california/los-angeles/2280-Alfred-B.-Nobel-Charter-Middle-School/reviews/,https://www.greatschools.org/california/northridge/2280-Alfred-B.-Nobel-Charter-Middle-School/,Los Angeles,False,False,True,False,0.9,0.6,0.8,8.0,Above Average,False,True,False,33.99545938709677,-118.41884658064515
George K. Porter Middle School,"15960 Kingsbury St., Los Angeles, CA, 91344",7,7.0,7.0,6.0,"['Middle school', 'Public district']",3.2,https://www.greatschools.org/california/los-angeles/2331-George-K.-Porter-Middle-School/reviews/,https://www.greatschools.org/california/granada-hills/2331-George-K.-Porter-Middle-School/,Los Angeles,False,False,True,False,0.7,0.7,0.6,7.0,Above Average,False,False,True,34.2801142,-118.38215532317047
Gaspar De Portola Middle School,"18720 Linnet St., Los Angeles, CA, 91356",7,6.0,9.0,6.0,"['Middle school', 'Public charter']",3.5,https://www.greatschools.org/california/los-angeles/2332-Gaspar-De-Portola-Middle-School/reviews/,https://www.greatschools.org/california/tarzana/2332-Gaspar-De-Portola-Middle-School/,Los Angeles,False,False,True,False,0.9,0.6,0.6,7.0,Above Average,False,True,False,34.05507320408163,-118.33127528571428
Paul Revere Middle School,"1450 Allenford Avenue, Los Angeles, CA, 90049",7,6.0,9.0,6.0,"['Middle school', 'Public charter']",3.7,https://www.greatschools.org/california/los-angeles/2344-Paul-Revere-Middle-School/reviews/,https://www.greatschools.org/california/los-angeles/2344-Paul-Revere-Middle-School/,Los Angeles,False,False,True,False,0.9,0.6,0.6,7.0,Above Average,False,True,False,34.243131,-118.502567
Icef Vista Middle Academy,"4471 Inglewood Boulevard, Los Angeles, CA, 90066",7,7.0,7.0,7.0,"['Middle school', 'Public charter']",4.9,https://www.greatschools.org/california/los-angeles/24636-Icef-Vista-Middle-Academy/reviews/,https://www.greatschools.org/california/los-angeles/24636-Icef-Vista-Middle-Academy/,Los Angeles,False,False,True,False,0.7,0.7,0.7,7.0,Above Average,False,True,False,34.05474064885019,-118.49495289496541
Alliance College-Ready Middle Academy No. 4,"9719 South Main Street, Los Angeles, CA, 90003",7,9.0,5.0,5.0,"['Middle school', 'Public charter']",2.5,,https://www.greatschools.org/california/los-angeles/24992-Alliance-College-Ready-Middle-Academy-No.-4/,Los Angeles,False,False,True,False,0.5,0.9,0.5,7.0,Above Average,False,True,False,33.959939,-118.294137
Puc Community Charter Middle School,"11500 Eldridge Avenue, Los Angeles, CA, 91342",7,7.0,7.0,9.0,"['Middle school', 'High school', 'Public charter']",3.4,,https://www.greatschools.org/california/lake-view-terrace/11739-Puc-Community-Charter-Middle-School/,Los Angeles,False,False,True,True,0.7,0.7,0.9,8.0,Above Average,False,True,False,34.1672036122449,-118.54141330612245
New West Charter School,"1905 Armacost Avenue, Los Angeles, CA, 90025",7,6.0,9.0,6.0,"['Middle school', 'High school', 'Public charter']",3.0,https://www.greatschools.org/california/los-angeles/12491-New-West-Charter-School/reviews/,https://www.greatschools.org/california/los-angeles/12491-New-West-Charter-School/,Los Angeles,False,False,True,True,0.9,0.6,0.6,7.0,Above Average,False,True,False,34.02257830612245,-118.27225902040816
James Jordan Middle School,"18600 Lanark Street, Los Angeles, CA, 91335",7,6.0,8.0,9.0,"['Middle school', 'Public charter']",4.7,https://www.greatschools.org/california/los-angeles/14932-James-Jordan-Middle-School/reviews/,https://www.greatschools.org/california/winnetka/14932-James-Jordan-Middle-School/,Los Angeles,False,False,True,False,0.8,0.6,0.9,8.0,Above Average,False,True,False,34.03606610204081,-118.45530640816327
Alliance Marine-Innovation and Technology 6-12 Complex,"11933 Allegheny Street, Los Angeles, CA, 91352",7,7.0,7.0,9.0,"['Middle school', 'High school', 'Public charter']",4.2,https://www.greatschools.org/california/los-angeles/31738-Alliance-Marine-Innovation-And-Technology-6-12-Complex-/reviews/,https://www.greatschools.org/california/sun-valley/31738-Alliance-Marine-Innovation-And-Technology-6-12-Complex-/,Los Angeles,False,False,True,True,0.7,0.7,0.9,8.0,Above Average,False,True,False,34.23739067840982,-118.39286435931523
PUC Triumph Charter Academy and PUC Triumph Charte,"13361 Glenoaks Boulevard, Los Angeles, CA, 91342",7,9.0,7.0,7.0,"['Middle school', 'High school', 'Public charter']",,,https://www.greatschools.org/california/sylmar/32331-PUC-Triumph-Charter-Academy-And-PUC-Triumph-Charte/,Los Angeles,False,False,True,True,0.7,0.9,0.7,8.0,Above Average,False,True,False,34.02408351020408,-118.40032226530612
Girls Athletic Leadership School Los Angeles,"8015 Van Nuys Blvd., Los Angeles, CA, 91402",7,8.0,6.0,5.0,"['Middle school', 'Public charter']",5.0,,https://www.greatschools.org/california/arleta/32474-Girls-Athletic-Leadership-School-Los-Angeles/,Los Angeles,False,False,True,False,0.6,0.8,0.5,7.0,Above Average,False,True,False,34.21665607447482,-118.4486187280222
Vox Collegiate of Los Angeles,"1100 West Manchester Avenue, Los Angeles, CA, 90044",7,10.0,5.0,4.0,"['Middle school', 'Public charter']",,,https://www.greatschools.org/california/los-angeles/32825-Vox-Collegiate-Of-Los-Angeles/,Los Angeles,False,False,True,False,0.5,1.0,0.4,7.0,Above Average,False,True,False,34.064805,-118.33705
John Adams Middle School,"151 West 30th Street, Los Angeles, CA, 90007",6,6.0,6.0,7.0,"['Middle school', 'Public district']",5.0,,https://www.greatschools.org/california/los-angeles/1888-John-Adams-Middle-School/,Los Angeles,False,False,True,False,0.6,0.6,0.7,7.0,Above Average,False,False,True,34.26112153061224,-118.51195579591837
Luther Burbank Middle School,"6460 North Figueroa Street, Los Angeles, CA, 90042",6,7.0,6.0,5.0,"['Middle school', 'Public district']",4.7,https://www.greatschools.org/california/los-angeles/1958-Luther-Burbank-Middle-School/reviews/,https://www.greatschools.org/california/los-angeles/1958-Luther-Burbank-Middle-School/,Los Angeles,False,False,True,False,0.6,0.7,0.5,6.0,Average,False,False,True,34.18855115,-118.52952012608093
John Burroughs Middle School,"600 South Mc Cadden Place, Los Angeles, CA, 90005",6,5.0,8.0,7.0,"['Middle school', 'Public district']",3.3,https://www.greatschools.org/california/los-angeles/1959-John-Burroughs-Middle-School/reviews/,https://www.greatschools.org/california/los-angeles/1959-John-Burroughs-Middle-School/,Los Angeles,False,False,True,False,0.8,0.5,0.7,7.0,Above Average,False,False,True,34.02410865306123,-118.41596295918367
Emerson Community Charter School,"1650 Selby Avenue, Los Angeles, CA, 90024",6,7.0,7.0,3.0,"['Middle school', 'Public charter']",4.1,https://www.greatschools.org/california/los-angeles/2058-Emerson-Community-Charter-School/reviews/,https://www.greatschools.org/california/los-angeles/2058-Emerson-Community-Charter-School/,Los Angeles,False,False,True,False,0.7,0.7,0.3,6.0,Average,False,True,False,34.314126349999995,-118.45988951307879
